shipment_id,transaction_id,date,carrier,service_type,weight_lbs,shipping_cost,origin_zip,destination_zip
SHP00001,TXN00131,2024-07-01,FedEx,expedited,0.72,8.38,95060,02101
SHP00002,TXN00139,2024-07-03,USPS,standard,20.3,49.47,95060,32801
SHP00003,TXN00342,2024-07-03,FedEx,standard,10.36,27.05,95060,02101
SHP00004,TXN00444,2024-07-02,USPS,freight,81.95,53.75,95060,43201
SHP00005,TXN00521,2024-07-02,FedEx,standard,20.65,50.25,95060,89101
SHP00006,TXN00698,2024-07-01,FedEx,expedited,10.46,53.64,95060,85001
SHP00007,TXN00960,2024-07-03,UPS,standard,20.84,35.08,95060,43201
SHP00008,TXN01040,2024-07-01,UPS,standard,5.11,15.63,95060,10001
SHP00009,TXN01230,2024-07-02,UPS,expedited,20.68,83.74,95060,85001
SHP00010,TXN01250,2024-07-02,FedEx,expedited,10.08,40.02,95060,33101
SHP00011,TXN01293,2024-07-01,UPS,standard,0.85,5.78,95060,90210
SHP00012,TXN01392,2024-07-04,USPS,standard,10.57,19.46,95060,90210
SHP00013,TXN01405,2024-07-02,UPS,expedited,5.03,27.99,95060,48201
SHP00014,TXN01989,2024-07-02,FedEx,overnight,10.44,148.61,95060,30301
SHP00015,TXN02067,2024-07-04,UPS,standard,41.06,89.66,95060,85001
SHP00016,TXN02454,2024-07-03,UPS,standard,10.61,18.94,95060,48201
SHP00017,TXN02635,2024-07-03,FedEx,freight,122.5,111.57,95060,60601
SHP00018,TXN02889,2024-07-04,FedEx,standard,5.39,13.45,95060,94102
SHP00019,TXN02963,2024-07-01,FedEx,standard,20.34,42.48,95060,30301
SHP00020,TXN03005,2024-07-03,USPS,expedited,1.33,10.96,95060,33101
SHP00021,TXN03205,2024-07-01,FedEx,standard,10.32,17.16,95060,63101
SHP00022,TXN03370,2024-07-04,USPS,expedited,10.6,59.48,95060,90210
SHP00023,TXN03373,2024-07-03,USPS,freight,41.15,44.56,95060,94102
SHP00024,TXN03418,2024-07-02,UPS,standard,20.35,28.7,95060,97201
SHP00025,TXN03734,2024-07-02,USPS,overnight,20.32,165.75,95060,89101
SHP00026,TXN03850,2024-07-03,USPS,expedited,20.3,124.03,95060,90210
SHP00027,TXN03859,2024-07-02,USPS,expedited,10.63,61.54,95060,94102
SHP00028,TXN03885,2024-07-02,FedEx,freight,81.79,96.69,95060,94102
SHP00029,TXN04123,2024-07-02,UPS,standard,10.02,24.32,95060,27601
SHP00030,TXN04130,2024-07-04,USPS,freight,81.9,58.74,95060,90210
SHP00031,TXN04735,2024-07-04,FedEx,standard,20.32,38.97,95060,89101
SHP00032,TXN04907,2024-07-01,UPS,freight,40.79,30.17,95060,94102
SHP00033,TXN04944,2024-07-04,UPS,standard,1.03,6.03,95060,90210
SHP00034,TXN00652,2024-07-02,USPS,expedited,1.78,12.52,95060,98101
SHP00035,TXN00729,2024-07-04,UPS,expedited,5.25,29.36,95060,02101
SHP00036,TXN00861,2024-07-05,FedEx,standard,1.69,6.15,95060,75201
SHP00037,TXN00877,2024-07-04,USPS,overnight,122.49,1711.61,95060,85001
SHP00038,TXN01153,2024-07-03,UPS,freight,40.7,38.74,95060,02101
SHP00039,TXN01217,2024-07-02,USPS,overnight,20.88,195.75,95060,27601
SHP00040,TXN01485,2024-07-02,USPS,standard,5.38,13.95,95060,89101
SHP00041,TXN01627,2024-07-02,FedEx,expedited,5.53,25.3,95060,10001
SHP00042,TXN01645,2024-07-03,FedEx,freight,81.84,75.76,95060,90210
SHP00043,TXN01707,2024-07-05,UPS,freight,82.05,87.09,95060,33101
SHP00044,TXN01936,2024-07-04,FedEx,standard,10.52,22.7,95060,63101
SHP00045,TXN02116,2024-07-04,FedEx,standard,40.84,79.81,95060,60601
