transaction_id,date,customer_id,sku_id,quantity,unit_price_actual,discount_applied,net_revenue
TXN00131,2024-07-01,C014,SKU012,1,20.0,0.0,20.0
TXN00139,2024-07-01,C003,SKU006,24,10.17,0.0,244.08
TXN00342,2024-07-01,C017,SKU024,12,19.2,0.0,230.4
TXN00444,2024-07-01,C020,SKU010,96,9.1,0.0,873.6
TXN00521,2024-07-01,C001,SKU010,24,8.23,0.0,197.52
TXN00698,2024-07-01,C019,SKU017,12,7.26,0.0,87.12
TXN00960,2024-07-01,C005,SKU015,24,10.8,0.0,259.2
TXN01040,2024-07-01,C002,SKU006,6,10.17,0.0,61.02
TXN01230,2024-07-01,C001,SKU007,24,10.41,0.0,249.84
TXN01250,2024-07-01,C018,SKU023,12,3.0,0.0,36.0
TXN01293,2024-07-01,C014,SKU015,1,18.0,0.0,18.0
TXN01392,2024-07-01,C001,SKU017,12,7.26,0.0,87.12
TXN01405,2024-07-01,C020,SKU023,6,1.64,1.04,9.84
TXN01989,2024-07-01,C003,SKU010,12,9.1,0.0,109.2
TXN02067,2024-07-01,C001,SKU015,48,8.71,0.0,418.08
TXN02454,2024-07-01,C020,SKU002,12,10.7,0.0,128.4
TXN02635,2024-07-01,C005,SKU005,144,13.8,0.0,1987.2
TXN02889,2024-07-01,C001,SKU015,6,8.71,0.0,52.26
TXN02963,2024-07-01,C003,SKU002,24,10.7,0.0,256.8
TXN03005,2024-07-01,C014,SKU018,1,13.0,0.0,13.0
TXN03205,2024-07-01,C020,SKU004,12,10.97,0.0,131.64
TXN03370,2024-07-01,C001,SKU001,12,10.65,0.0,127.8
TXN03373,2024-07-01,C001,SKU023,48,2.42,0.0,116.16
TXN03418,2024-07-01,C019,SKU010,24,8.23,0.0,197.52
TXN03734,2024-07-01,C001,SKU014,24,8.47,0.0,203.28
TXN03850,2024-07-01,C004,SKU022,24,27.3,1.5,655.2
TXN03859,2024-07-01,C001,SKU006,12,9.2,0.0,110.4
TXN03885,2024-07-01,C001,SKU010,96,8.23,0.0,790.08
TXN04123,2024-07-01,C018,SKU006,12,11.4,0.0,136.8
TXN04130,2024-07-01,C019,SKU020,96,7.74,0.0,743.04
TXN04735,2024-07-01,C019,SKU017,24,7.26,0.0,174.24
TXN04907,2024-07-01,C001,SKU010,48,8.23,0.0,395.04
TXN04944,2024-07-01,C015,SKU023,1,5.0,0.0,5.0
TXN00652,2024-07-02,C014,SKU004,2,20.5,0.0,41.0
TXN00729,2024-07-02,C017,SKU012,6,14.0,0.0,84.0
TXN00861,2024-07-02,C013,SKU011,2,19.0,0.0,38.0
TXN00877,2024-07-02,C001,SKU007,144,10.41,0.0,1499.04
TXN01153,2024-07-02,C010,SKU013,48,13.15,1.65,631.2
TXN01217,2024-07-02,C007,SKU024,24,16.8,0.0,403.2
TXN01485,2024-07-02,C004,SKU019,6,8.4,0.0,50.4
TXN01627,2024-07-02,C002,SKU017,6,8.03,0.0,48.18
TXN01645,2024-07-02,C019,SKU006,96,9.2,0.0,883.2
TXN01707,2024-07-02,C018,SKU014,96,9.77,0.73,937.92
TXN01936,2024-07-02,C005,SKU001,12,13.2,0.0,158.4
TXN02116,2024-07-02,C020,SKU001,48,11.77,0.0,564.96
TXN02445,2024-07-02,C011,SKU001,1,22.0,0.0,22.0
TXN02465,2024-07-02,C020,SKU019,24,7.49,0.0,179.76
TXN02516,2024-07-02,C019,SKU011,96,9.2,0.0,883.2
TXN02705,2024-07-02,C001,SKU018,96,6.29,0.0,603.84
TXN02853,2024-07-02,C017,SKU024,12,16.8,0.0,201.6
TXN02987,2024-07-02,C002,SKU010,48,9.1,0.0,436.8
TXN03301,2024-07-02,C014,SKU012,3,20.0,0.0,60.0
TXN03348,2024-07-02,C007,SKU006,6,13.3,0.0,79.8
